"New Code","Item Name","Lokasi","STOCK","UOM","Kode QR"
"SPCMAB0007","Batugerinda Potong 14"" 355 x 3 x 25.4 Nippon Resibon","111","10000","EA",""
"SPCMAB0009","Batugerinda A36RVBE (Grey) 205x19x31.75 (8"") Kinik","112","","EA",""
"SPCMAB0008","Batugerinda GC-46KVK (Green) 205 x 19 x 31.75 (8”) Kinik","112","1","EA",""
"SPCMAB0010","Batugerinda Poles - Felt Points FK SPK 0812-3 PFERD","112","108","EA",""
"SPCMAB0005","Batugerinda Poles 4"" 100 x 6 x 16 Nippon Resibon","112","3","EA",""
"SPCMAB0006","Batugerinda Potong 4"" 100 x 3 x 16 Nippon Resibon","112","","EA",""
"SPCMAB0024","Batugerinda Potong 4"" 105 x 2 x 16 Nippon Resibon","112","1","EA",""
"SPWSAB0008","Diamond Dresser D = 1 L = 40 Cone Square Shape (C3A)","112","","EA",""
"SPWSAB0009","Flap Disc PFF 100 A 60 SG-COOL 262771 100 x 14 x 16.0","112","19","EA",""
"SPCMAB0011","Flaring Cup 11A-PA#80K 127 x 45 x 31.75 (5”) Kinik","112","6","EA",""
"SPSPAT0001","Armature Disc p/n 5125-111-001 Warner","113","","EA",""
"SPVPAT0001","Armature type 14.105.08.03 (p/n 8.13.0402.002)","113","","EA",""
"SPCDAM0002","Link Arm J6","113","","EA",""
"SPCDAM0002","Rotor p/n 5104-751-045 Warner (3/4"")","113","","EA",""
"SPYNBA0001","Steel Ball dia. 22 SUS 316L","113","","EA",""
"SPYNBA0002","Steel Ball dia.16 SUS 316L","113","","EA",""
"SPMEBE0213","Bearing 2207 K","121","","EA",""
"SPMEBE0431","Bearing 51102","121","10","EA",""
"SPMEBE0336","Bearing 6206 2Z","121","5","EA",""
"SPMEBE0319","Bearing 6213 RS","121","","EA",""
"SPMEBE0394","Bearing 626 2Z","121","4","EA",""
"SPMEBE0242","Bearing 6300 2RS","121","14","EA",""
"SPMEBE0341","Bearing 6302 RS","121","13","EA",""
"SPMEBE0031","Bearing 6306 2Z","121","5","EA",""
"SPMEBE0265","Bearing 6313 2Z","121","","EA",""
"SPMEBE0008","Bearing AMS 15 ABP","121","","EA",""
"SPMEBE0345","Bearing HK 0509","121","27","EA",""
"SPMEBE0330","Bearing NK 6 / 10T","121","23","EA",""
"SPMEBE0044","Bearing RLS 10 R36 70 / 35 / 17","121","","EA",""
"SPMEBE0344","Pillow Block Flange UCF 308 EK","121","3","EA",""
"SPMEBE0354","Bearing BK-1015 INA","121","33","EA",""
"SPMEBE0385","Bearing 320/28X","122","","EA",""
"SPMEBE0246","Bearing 3204 RS 3170320410 (30 x 47 x 21)","122","7","EA",""
"","Bearing 32208","122","","EA","#CONNECT!"
"SPMEBE0301","Bearing 51105","122","6","EA",""
"SPMEBE0037","Bearing 6003 2Z","122","11","EA",""
"SPMEBE0056","Bearing 6004 RS","122","3","EA",""
"SPMEBE0236","Bearing 6010 RR","122","2","EA",""
"SPMEBE0387","Bearing 6208 RS","122","10","EA",""
"SPMEBE0169","Bearing 6801 Z","122","3","EA",""
"SPMEBE0435","Bearing 6903 RS","122","5","EA",""
"SPMEBE0395","Bearing NATB 5905","122","","EA",""
"SPMEBE0434","Bearing TORR FC30","122","","EA",""
"SPMEBE0250","Bearing ZKLF 2068 2R SPE Merk Ina","122","1","EA",""
"SPMEBE0304","Linier Bearing LBD 10 UU SKF","122","10","EA",""
"SPMEBE0214","Pillow Block UKF 206 FYH","122","","EA",""
"SPMEBE0451","BEARING CSK15PP ASB","122","2","EA",""
"SPMEBE0446","Ball Bearing B7004 Misumi","123","","EA",""
"SPMEBE0009","Bearing 6002 2Z","123","","EA",""
"SPMEBE0221","Bearing 6305 2RS","123","8","EA",""
"SPMEBE0017","Bearing 6309 RS","123","6","EA",""
"SPMEBE0449","Bearing 6800 RS","123","8","EA",""
"SPMEBE0167","Bearing 6801 RS","123","5","EA",""
"SPMEBE0443","Bearing 6804 2Z","123","8","EA",""
"SPMEBE0014","Bearing 6900 Z","123","7","EA",""
"SPMEBE0298","Bearing 6906 2RS","123","4","EA",""
"SPMEBE0052","Bearing FX 06J","123","5","EA",""
"SPMEBE0355","Bearing HK 2020 INA","123","39","EA",""
"SPMEBE0300","Camfollower CFR6-16 Misumi","123","3","EA",""
"SPMEBE0440","Joint Rod Head POS 12","123","","EA",""
"SPMEBE0441","Joint Rod Head POS 12L","123","","EA",""
"SPMEBE0327","Pillow Block P208 Dan Bearing UC208","123","5","Set",""
"SPMEBE0433","Ball Bearing 62/22 2RS NTN","131","2","EA",""
"SPMEBE0211","Bearing 1207 K","131","","EA",""
"SPMEBE0384","Bearing 22209 EK","131","","EA",""
"SPMEBE0038","Bearing 6203 2Z","131","7","EA",""
"SPMEBE0386","Bearing 6208 2Z","131","","EA",""
"SPMEBE0193","Bearing 6308 C3 2Z","131","6","EA",""
"SPMEBE0312","Bearing 6901 Z","131","12","EA",""
"SPMEBE0408","Bearing HK 2520","131","","EA",""
"SPMEBE0428","Bearing SB202G FYH","131","10","EA",""
"SPMEBE0323","Bearing UC 208","131","6","EA",""
"SPMEBE0016","Bearing XLJ 2 J","131","","EA",""
"SPMEBE0419","Lock Washer dia. dalam 25","131","","EA",""
"SPMEBE0424","Pillow Block F206J & Bearing UC 206","131","","EA",""
"SPMEBE0197","Pillow Block FC 206 FYH","131","1","EA",""
"SPMEBE0179","Pillow Block FL 003","131","6","EA",""
"SPMEBE0254","Ball Bearing pn 3160601124","131","6","EA",""
"SPMEBE0388","Adaptor Sleeve H 209","132","","EA",""
"SPMEBE0416","Bearing 31305 J2","132","","EA",""
"SPMEBE0429","Bearing 51202","132","","EA",""
"SPMEBE0407","Bearing 6008 2RS","132","9","EA",""
"SPMEBE0026","Bearing 6009 2Z","132","4","EA",""
"SPMEBE0257","Bearing 607 A","132","8","EA",""
"SPMEBE0432","Bearing 61807 2RS NTN","132","2","EA",""
"SPMEBE0418","Bearing 6301 2Z","132","7","EA",""
"SPMEBE0436","Bearing 6904 2Z","132","","EA",""
"SPMEBE0329","Bearing F 686 2Z NMB","132","11","EA",""
"SPMEBE0335","Bearing HK 5025  incl`d Inner (TR 45 x 50 x 25)","132","","EA",""
"SPMEBE0404","Bearing PHS 6 LA HN70317","132","","EA",""
"SPMEBE0401","Camfollower KR 22 PP","132","","EA",""
"SPMEBE0400","Joint Rod Head POS 8A","132","","EA",""
"SPMEBE0420","Lock Washer dia. dalam 15","132","","EA",""
"SPMEBE0453","BEARING 6008 2Z / VA208","132","6","EA",""
"SPMEBE0363","Bearing 16004","133","","EA",""
